coord_key,city_name,province,country,latitude,longitude
1,Yorkton, SK, Canada,51.21389,-102.462776
2,Warman, SK, Canada,52.321945,-106.584167
3,Swift Current, SK, Canada,50.288055,-107.793892
4,North Battleford, SK, Canada,52.7575,-108.28611
5,Moose Jaw, SK, Canada,50.393333,-105.551941
6,Melville, SK, Canada,50.930557,-102.807777
7,Melfort, SK, Canada,52.856388,-104.610001
8,Martensville, SK, Canada,52.289722,-106.666664
9,Humboldt, SK, Canada,52.201942,-105.123055
10,Lloydminster SK, SK, Canada,53.278046,-110.00547
11,Estevan, SK, Canada,49.13673,-102.990959
12,Westmount, QC, Canada,45.484531,-73.597023
13,Waterville, QC, Canada,45.266666,-71.900002
14,Waterloo QC, QC, Canada,45.349998,-72.51667
15,Ville-Marie, QC, Canada,47.333332,-79.433334
16,Victoriaville, QC, Canada,46.049999,-71.966667
17,Vaudreuil-Dorion, QC, Canada,45.400002,-74.033333
18,Varennes, QC, Canada,45.683334,-73.433334
19,Val-d'Or, QC, Canada,48.099998,-77.783333
20,Valcourt, QC, Canada,45.5,-72.316666
21,Trois-Rivières, QC, Canada,46.349998,-72.550003
22,Trois-Pistoles, QC, Canada,48.119999,-69.18
23,Thurso, QC, Canada,45.599998,-75.25
24,Thetford Mines, QC, Canada,46.099998,-71.300003
25,Terrebonne, QC, Canada,45.700001,-73.633331
26,Témiscouata-sur-le-Lac, QC, Canada,47.68,-68.879997
27,Témiscaming, QC, Canada,46.716667,-79.099998
28,Stanstead, QC, Canada,45.016666,-72.099998
29,Sorel-Tracy, QC, Canada,46.033333,-73.116669
30,Shawinigan, QC, Canada,46.566666,-72.75
31,Sept-Îles, QC, Canada,50.216667,-66.383331
32,Senneterre, QC, Canada,48.383331,-77.23333
33,Scotstown, QC, Canada,45.529999,-71.279999
34,Salaberry-de-Valleyfield, QC, Canada,45.25,-74.129997
35,Saint-Sauveur, QC, Canada,45.900002,-74.169998
36,Saint-Rémi, QC, Canada,45.266666,-73.616669
37,Saint-Raymond, QC, Canada,46.900002,-71.833336
38,Saint-Pie, QC, Canada,45.5,-72.900002
39,Saint-Pascal, QC, Canada,47.533333,-69.800003
40,Saint-Pamphile, QC, Canada,46.966667,-69.783333
41,Saint-Ours, QC, Canada,45.883331,-73.150002
42,Saint-Lin–Laurentides, QC, Canada,45.849998,-73.76667
43,Saint-Lambert, QC, Canada,45.5,-73.51667
44,Saint-Lazare, QC, Canada,45.400002,-74.133331
45,Saint-Joseph-de-Beauce, QC, Canada,46.299999,-70.883331
46,Saint-Jérôme, QC, Canada,45.783333,-74
47,Saint-Jean-sur-Richelieu, QC, Canada,45.316666,-73.26667
48,Saint-Hyacinthe, QC, Canada,45.616669,-72.949997
49,Saint-Georges, QC, Canada,46.116669,-70.666664
50,Saint-Félicien, QC, Canada,48.650002,-72.449997
51,Saint-Eustache, QC, Canada,45.57,-73.900002
52,Sainte-Thérèse, QC, Canada,45.633331,-73.849998
53,Sainte-Marthe-sur-le-Lac, QC, Canada,45.529999,-73.93
54,Sainte-Marie, QC, Canada,46.450001,-71.033333
55,Sainte-Marguerite-du-Lac-Masson, QC, Canada,46.029999,-74.050003
56,Sainte-Julie, QC, Canada,45.583332,-73.333336
57,Sainte-Catherine-de-la-Jacques-Cartier, QC, Canada,46.849998,-71.616669
58,Sainte-Catherine, QC, Canada,45.400002,-73.580002
59,Sainte-Anne-des-Plaines, QC, Canada,45.766666,-73.816666
60,Sainte-Anne-de-Bellevue, QC, Canada,45.403889,-73.952499
61,Sainte-Anne-de-Beaupré, QC, Canada,47.016666,-70.933334
62,Sainte-Agathe-des-Monts, QC, Canada,46.049999,-74.279999
63,Sainte-Adèle, QC, Canada,45.950001,-74.129997
64,Saint-Constant, QC, Canada,45.369999,-73.57
65,Saint-Colomban, QC, Canada,45.73,-74.129997
66,Saint-Césaire, QC, Canada,45.416668,-73
67,Saint-Bruno-de-Montarville, QC, Canada,45.533333,-73.349998
68,Saint-Basile-le-Grand, QC, Canada,45.533333,-73.283333
69,Saint-Basile, QC, Canada,46.75,-71.816666
70,Saint-Augustin-de-Desmaures, QC, Canada,46.733334,-71.466667
71,Saguenay, QC, Canada,48.416668,-71.066666
72,Rouyn-Noranda, QC, Canada,48.233334,-79.01667
73,Rosemère, QC, Canada,45.636944,-73.800003
74,Roberval, QC, Canada,48.52,-72.230003
75,Rivière-Rouge, QC, Canada,46.416668,-74.866669
76,Rivière-du-Loup, QC, Canada,47.833332,-69.533333
77,Richmond QC, QC, Canada,45.666668,-72.150002
78,Richelieu, QC, Canada,45.450001,-73.25
79,Princeville, QC, Canada,46.166668,-71.883331
80,Prévost, QC, Canada,45.869999,-74.080002
81,Portneuf, QC, Canada,46.700001,-71.883331
82,Port-Cartier, QC, Canada,50.033333,-66.866669
83,Pont-Rouge, QC, Canada,45.450001,-73.816666
84,Pohénégamook, QC, Canada,47.466667,-69.216667
85,Plessisville, QC, Canada,46.216667,-71.783333
86,Pincourt, QC, Canada,45.383331,-73.98333
87,Percé, QC, Canada,48.533333,-64.216667
88,Paspébiac, QC, Canada,48.033333,-65.25
89,Otterburn Park, QC, Canada,45.533333,-73.216667
90,Notre-Dame-des-Prairies, QC, Canada,46.049999,-73.433334
91,Notre-Dame-de-l'Île-Perrot, QC, Canada,45.366669,-73.933334
92,Normandin, QC, Canada,48.833332,-72.533333
93,Nicolet, QC, Canada,46.216667,-72.616669
94,New Richmond, QC, Canada,48.166668,-65.866669
95,Neuville, QC, Canada,46.700001,-71.583336
96,Murdochville, QC, Canada,48.966667,-65.5
97,Mount Royal, QC, Canada,45.516109,-73.643059
98,Mont-Tremblant, QC, Canada,46.116669,-74.599998
99,Mont-Saint-Hilaire, QC, Canada,45.562222,-73.191666
100,Montreal Est,QC, Canada,45.630001,-73.519997
101,Montreal West, QC, Canada,45.453609,-73.647224
